cluster,label,coherence,n_docs,n_words
-1,"neural network, deep neural, convolutional neural, deep network, deep convolutional, convolutional network, bayesian network, recurrent neural, image classification, adversarial network, object detection, artificial neural, network deep, deep feature, network architecture, deep cnn, bayesian neural, domain adaptation, object recognition, image retrieval, deep reinforcement, image recognition, feature selection, network structure, image feature, recurrent network, spiking neural, boltzmann machine, gaussian process, object tracking, deep generative, vector machine, network neural, bayesian inference, feature representation, cnn feature, neural machine, classification network, detection network, visual feature, generative adversarial, convolutional feature, feature space, network training, neural system, classification problem, state network, time sery, social network, person re-identification",0.25683098015713035,21203,43
0,"neural network, time sery, artificial neural, deep neural, recurrent neural, sery classification, sery forecasting, convolutional neural, dynamic time, time warping, sery prediction, vector machine, support vector, pattern mining, power system, process mining, lstm network, load forecasting, lstm neural, distribution network, bayesian network, energy forecasting, stock market, prediction accuracy, classification algorithm, convolutional network, multivariate time, financial time, deep network, power prediction, mining algorithm, mining technique, stock prediction, power grid, stock price, power network, process discovery, wind power, recurrent network, vector regression, forecasting time, network architecture, process monitoring, memory network, fuzzy neural, feature selection, deep convolutional, fuzzy inference, energy prediction, demand forecasting",0.227648386602863,1213,46
1,"recommender system, collaborative filtering, recommendation system, neural network, matrix factorization, user preference, item recommendation, deep neural, recommendation algorithm, recurrent neural, user item, collaborative ranking, personalized recommendation, factorization machine, social recommendation, recommendation task, matrix completion, online recommendation, collaborative recommendation, rating prediction, user behavior, ctr prediction, ranking system, social network, recommendation collaborative, pairwise comparison, ranking algorithm, user rating, recommendation quality, implicit feedback, crowdsourcing system, personalized ranking, product recommendation, filtering algorithm, rate prediction, user feedback, system recommender, item feature, user representation, rank aggregation, recommendation framework, sequential recommendation, recommendation accuracy, rating matrix, movie recommendation, online advertising, user interest, real-world dataset, recommendation recommendation, recommendation recommender",0.25917743508781305,1122,46
2,"neural network, adversarial attack, deep neural, anomaly detection, adversarial training, adversarial network, adversarial perturbation, deep network, intrusion detection, adversarial robustness, adversarial machine, detection system, network deep, differential privacy, generative adversarial, malware detection, adversarial sample, adversarial image, convolutional neural, network intrusion, outlier detection, adversarial deep, detection algorithm, attack detection, network attack, adversarial defense, attack deep, network security, network robustness, differentially private, adversarial input, attack adversarial, image classification, network adversarial, black-box attack, network neural, adversarial noise, generating adversarial, attack algorithm, android malware, network traffic, black-box adversarial, detection network, adversarial neural, adversarial detection, detecting adversarial, deep generative, poisoning attack, training deep, inference attack",0.24602100110033537,2064,36
3,"neural network, natural language, recurrent neural, machine translation, neural machine, deep neural, word embedding, speech recognition, language processing, neural language, convolutional neural, language modeling, text classification, network language, word representation, recurrent network, question answering, nlp task, english language, language generation, language understanding, social network, entity recognition, automatic speech, social media, memory network, word vector, language text, translation neural, translation system, neural translation, lstm network, neural word, chinese word, neural semantic, language inference, neural text, network recurrent, text generation, dialogue system, statistical machine, language translation, sentiment classification, spoken language, network architecture, deep network, relation extraction, named entity, english text, classification task",0.3283117085808286,10529,44
4,"evolutionary algorithm, genetic algorithm, search algorithm, planning problem, genetic programming, local search, search space, planning algorithm, scheduling problem, heuristic search, particle swarm, path planning, evolutionary computation, heuristic algorithm, search heuristic, evolutionary search, benchmark problem, differential evolution, search problem, optimisation problem, ant colony, test problem, hybrid evolutionary, metaheuristic algorithm, memetic algorithm, hybrid algorithm, planning domain, multi-objective evolutionary, search strategy, salesman problem, swarm intelligence, traveling salesman, pso algorithm, algorithm evolutionary, programming algorithm, tabu search, dynamic problem, distribution algorithm, evolutionary dynamic, evolutionary computing, optimisation algorithm, evolutionary system, evolutionary programming, existing algorithm, real-world problem, genetic operator, design problem, solving problem, multi-objective problem, evolution strategy",0.2984607931865616,1502,42
5,"deep reinforcement, markov decision, neural network, policy gradient, deep neural, decision process, inverse reinforcement, bandit algorithm, artificial intelligence, bandit problem, multi-armed bandit, atari game, policy search, deep q-learning, bayesian reinforcement, thompson sampling, hierarchical reinforcement, reward function, control policy, contextual bandit, control problem, monte carlo, policy network, policy iteration, multi-agent reinforcement, regret bound, model-based reinforcement, decision problem, tree search, control task, continuou control, observable markov, decision making, state space, deep q-network, deep network, online reinforcement, model-free reinforcement, action space, markov game, linear bandit, deterministic policy, deep deterministic, search algorithm, stochastic bandit, bandit feedback, agent policy, function approximation, video game, online algorithm",0.23097248964795836,4877,53
6,"generative adversarial, adversarial network, deep generative, neural network, network generative, generative network, image generation, gan generative, style transfer, gan training, conditional generative, adversarial training, wasserstein gan, deep network, variational autoencoder, image synthesi, adversarial generative, training generative, conditional gan, deep neural, adversarial net, image translation, training gan, generative image, generative neural, style image, generative modeling, neural style, wasserstein generative, generator network, image style, convolutional neural, latent space, transfer network, adversarial variational, image generative, generated image, deep convolutional, conditional image, image inpainting, network training, discriminator network, adversarial loss, image dataset, inference network, gan network, training image, convolutional network, image retrieval, natural image",0.2254838692268079,1630,31
7,"face recognition, face image, neural network, face detection, visual question, convolutional neural, image captioning, facial expression, deep neural, question answering, expression recognition, emotion recognition, facial image, deep face, face alignment, deep convolutional, visual feature, human face, deep network, video captioning, convolutional network, visual recognition, face dataset, video face, face verification, adversarial network, face representation, face feature, image feature, facial feature, recurrent neural, facial recognition, visual face, image classification, recognition face, recognition system, facial landmark, face detector, recognition network, image recognition, face reconstruction, image retrieval, face video, network face, deep feature, visual image, visual attention, answering visual, facial attribute, video summarization",0.20967478642842607,2778,33
8,"neural network, convolutional neural, deep neural, convolutional network, deep network, deep convolutional, image segmentation, image classification, object detection, network deep, segmentation network, semantic segmentation, deep cnn, network architecture, bayesian neural, graph neural, gaussian process, pose estimation, network convolutional, single image, graph convolutional, recurrent neural, stochastic gradient, network training, monte carlo, network structure, action recognition, image recognition, image feature, adversarial network, gradient descent, image reconstruction, fully convolutional, object segmentation, medical image, training deep, network embedding, rgb image, bayesian network, object recognition, deep gaussian, bayesian inference, image processing, residual network, detection network, bayesian deep, deep image, deep feature, feature selection, network neural",0.23389977284684127,25874,40
