cluster,label,coherence,n_docs,n_words
-1,"deep neural network, deep learning neural, network deep neural, deep learning network, neural network deep, learning neural network, deep network model, deep learning approach, deep learning deep, neural network training",0.5718719156191155,21203,7
0,"neural network neural, learning neural network, neural network approach, deep neural network, neural network model, neural network learning, neural network system, artificial neural network, neural network architecture, neural network technique",0.4591571141197191,1213,10
1,"collaborative filtering system, collaborative filtering algorithm, neural collaborative filtering, collaborative filtering method, learning recommendation system, collaborative filtering recommendation, recommendation collaborative filtering, collaborative filtering based, recommendation recommender system, collaborative filtering collaborative",0.45545386835342744,1122,10
2,"adversarial neural network, neural network adversarial, neural network deep, deep neural network, network neural network, network deep neural, training neural network, deep learning deep, adversarial network deep, adversarial deep learning",0.6150172026143245,2064,6
3,"neural network language, neural language model, neural language modeling, neural natural language, recurrent neural network, neural machine translation, network recurrent neural, recurrent neural language, neural network recurrent, translation neural machine",0.5257974854171277,10529,9
4,"optimization evolutionary algorithm, problem evolutionary algorithm, evolutionary optimization algorithm, evolutionary programming algorithm, optimization genetic algorithm, algorithm evolutionary algorithm, evolutionary genetic algorithm, algorithm genetic algorithm, heuristic optimization algorithm, evolutionary computation algorithm",0.4149919141153426,1502,8
5,"reinforcement learning reinforcement, reinforcement learning policy, reinforcement learning control, reinforcement learning algorithm, reinforcement learning approach, reinforcement learning system, reward reinforcement learning, reinforcement learning environment, game reinforcement learning, reinforcement learning network",0.37499752434265593,4877,11
6,"generative adversarial network, adversarial network generative, network generative adversarial, generative adversarial neural, generative adversarial model, generative adversarial net, deep generative network, training generative adversarial, adversarial generative model, adversarial net generative",0.49422090536492075,1630,8
7,"visual face image, neural network face, face recognition network, face face recognition, face recognition face, deep face recognition, face image recognition, image face recognition, face recognition deep, face recognition model",0.4214813093844909,2778,8
8,"deep neural network, network deep neural, neural network deep, deep learning neural, learning deep neural, learning deep network, deep learning network, training deep network, deep network deep, deep learning deep",0.7432826214754196,25874,5
9,"learning bayesian network, bayesian network structure, data bayesian network, bayesian network inference, bayesian network bayesian, network bayesian network, bayesian network model, inference bayesian network, model bayesian network, discrete bayesian network",0.5029919821627311,1250,8
10,"constraint logic program, constraint logic programming, logic programming semantic, logic programming system, logic programming language, programming logic programming, logic programming framework, answer set programming, general logic program, disjunctive logic programming",0.4372739710389038,2162,12
